text,topic
"

The tribe will be in town from April 16 to the 19th.
There are ALWAYS tickets available! (Though they are playing Toronto,
and many Toronto fans make the trip to Cleveland as it is easier to
get tickets in Cleveland than in Toronto.  Either way, I seriously
doubt they will sell out until the end of the season.)
",sports
"This game would have been great as part of a double-header on ABC or
ESPN; the league would have been able to push back-to-back wins by
Le Magnifique and The Great One.  Unfortunately, the only network
that would have done that was SCA, seen in few areas and hard to
justify as a pay channel. )-;

gld",sports
"My god, hope we don't have to put up with this kind of junk all season!


How many home runs by Tartabull?  Just 1, right, you must be thinking
of Dean Palmer or Juan Gonzalez (both of Texas) who each had 2 homers.


I don't know how many to follow, but he was 1 for 4.
",sports
"


I heard it will be the Minnesota-Detroit game. Don't know the time
though.

Dave
",sports
"I would like to make everyone aware that in winning the NL West the Atlanta
Braves did not lead wire-to-wire.  Through games of 4/14/93 the Houston
Astros are percentage points ahead of the ""unbeatable"" Braves.


Go Astros!!!!!",sports
"United States Coverage:
Sunday April 18
  N.J./N.Y.I. at Pittsburgh - 1:00 EDT to Eastern Time Zone
  ABC - Gary Thorne and Bill Clement

  St. Louis at Chicago - 12:00 CDT and 11:00 MDT - to Central/Mountain Zones
  ABC - Mike Emerick and Jim Schoenfeld

  Los Angeles at Calgary - 12:00 PDT and 11:00 ADT - to Pacific/Alaskan Zones
  ABC - Al Michaels and John Davidson

Tuesday, April 20
  N.J./N.Y.I. at Pittsburgh - 7:30 EDT Nationwide
  ESPN - Gary Thorne and Bill Clement

Thursday, April 22 and Saturday April 24
  To Be Announced - 7:30 EDT Nationwide
  ESPN - To Be Announced


Canadian Coverage:

Sunday, April 18
  Buffalo at Boston - 7:30 EDT Nationwide
  TSN - ???

Tuesday, April 20
  N.J.D./N.Y. at Pittsburgh - 7:30 EDT Nationwide
  TSN - ???",sports
"





If I remember correctly (Which is always in doubt), Horner's signing
with the Braves was contingent on starting in Atlanta.  I think
he could have gone back to Arizona St. for one more year if he hadn't
signed.  Anyhow, the Braves did try to send him to Richmond once;
it lead to a week-long walkout.  Methinks Horner had no work ethic
before he was drafted, and minor league play wouldn't have helped.
But his raw talent would have gotten him into the ML, and it did
keep him there for a while, until he started falling on his wrists.

",sports
" 

Hmmmm, I'm not sure this is true.  According to Mike Lang and good old
Stagie, along with the rest of the TV crews in pittsburgh, they 
winning streak could have stopped because it is a regular season mark.
I would think this would also hold with an unbeaten streak for regular
season games.",sports
"
I think Murray has done a great job.  He's picked up Ciccarelli,
Sheppard, Ysebaert, Howe, Coffey, and Riendeau (plus some depth players) 
without giving up anything the Wings needed or any of his top prospects.
All of this in three years.  Has anyone done better?

The year before he took over, the Wings didn't even make the playoffs.
There was about a year and a half during Demers' stint that the Wings
did OK, but that was due to Demers' motavational skills and clutch
and grab style.  They didn't have much talent.

Gerald, Murray wasn't responsible for Primeau (although I'm not
ready to admit that's a horrible pick).  They hired him after the
draft (which has never made sense to me).  His first pick was
Lapointe.

Ron ",sports
"Well Bruins fans it's playoff time again.
It looks like the B's have peaked at the right time.
Getting out of the Adams is going to be a cat fight to the end.
After what they did to Montreal and Quebec, these teams will be out for
revenge. If Neely can stay healthy, and both Bourque and Moog stay sharp,
we should get to see Neely finally take out two years of frustration 
on Ulf (I don't fight) Samuelson. I don't agree with fighting in the NHL,
but if there is one guy who deserves to be taken out good, it's him.

This is going to be a good series, Go Bruins!!!!
",sports
"
I saw a mask once that had drawings of band-aids, presumably for every puck
that goalie stopped with his face/head.  I can't remember who it was or even
if it was NHL (I see quite a few AHL games here).

This is by far the funniest mask I've seen, and for me funny=cool",sports
"Well, since you mentioned it...

  

No question here.  Chip in the Masterson as well...


Yep. 


If you asked me 30 days ago, I'd agree with you.  I now give the nod to
Raymond Bourque; his play took off the same time the B's did.  Chelios
gets a close second...

  
Barrasso finally gets his due, in a close one over Eddie the Eagle...


In *your* case, that bias is acceptable :-)... Mine shows with the Norris pick,
so we're even...

I'm impressed with what all the coaches you mentioned did, but my pick would be 
Al Arbour.  Not too many folks thought the Isles would be in the playoffs, let 
alone contend for 3rd in their division... Granted that they *did* have a little
help from their cousins on Broadway... :-)

And I like the Islanders about as much as I like mowing my lawn...
",sports
"I read this morning that Sid Fernandez left last nights' game with stiffness
in his shoulder. Does anyone have any information as to the extent of the
injury (if indeed there is one), or weather the cold air in Colorado just got
his joints a little stiff?

Thanks for the help...",sports
"
Don't you Americans study history...the French settled in North America
as early or before the British...Lemieux can probably trace back his
North American heritage back a lot further than most of us.",sports
